LatD,LatM,LatS,NS,LonD,LonM,LonS,EW,City,State
40,21,36,N,,37,12,W,Steubenville,OH
40,37,11,N,103,13,,W,Sterling,CO
,9,0,N,79,4,11,W,,VA
39,55,11,N,83,48,35,W,Springfield,OH
37,13,12,N,93,17,24,W,Springfield,
42,5,59,N,72,35,23,W,Springfield,MA
,47,59,N,89,39,0,W,Springfield,IL
47,40,11,N,117,24,36,W,Spokane,WA
41,40,48,,86,15,0,W,SouthBend,IN
43,32,24,N,96,43,48,W,SiouxFalls,SD
42,29,24,N,96,23,23,W,SiouxCity,IA
32,,35,N,93,45,,W,Shreveport,LA
33,38,,N,96,36,36,W,,TX
44,47,59,N,106,57,35,W,Sheridan,WY
35,13,47,N,96,40,48,W,Seminole,OK
32,25,11,N,87,1,11,W,Selma,AL
38,42,35,N,93,13,,W,,MO
47,35,59,N,122,19,48,W,Seattle,WA
41,24,35,N,75,40,11,W,Scranton,PA
41,52,11,,103,39,36,W,Scottsbluff,NB
,49,11,N,73,56,59,W,Schenectady,NY
32,,48,N,81,,23,W,,GA
,29,24,N,84,20,59,W,SaultSainteMarie,MI
27,20,24,N,82,31,47,W,Sarasota,FL
38,26,23,N,122,43,12,W,SantaRosa,CA
35,40,48,N,105,56,59,W,SantaFe,NM
34,25,11,,119,41,59,W,,CA
,45,35,N,117,,12,W,SantaAna,
37,20,24,N,121,52,,W,SanJose,CA
37,46,47,N,122,25,11,W,SanFrancisco,CA
41,27,0,N,82,42,35,W,Sandusky,OH
32,42,35,N,,9,0,W,,CA
34,6,36,N,117,18,35,W,SanBernardino,CA
,,12,N,98,30,0,W,SanAntonio,TX
31,27,35,N,100,,,W,SanAngelo,TX
40,45,35,,111,52,47,W,,UT
38,22,11,N,75,35,59,W,,MD
36,,11,N,121,39,0,W,Salinas,CA
38,50,24,N,97,,36,,Salina,KS
38,31,47,,106,0,0,W,,
44,56,23,N,123,1,47,W,Salem,OR
44,,0,N,93,5,,W,SaintPaul,MN
38,37,11,N,90,11,24,W,SaintLouis,MO
39,46,12,N,94,50,23,W,SaintJoseph,MO
42,5,59,,86,,48,W,,MI
44,25,11,N,72,1,11,W,SaintJohnsbury,VT
45,34,11,N,94,10,11,W,SaintCloud,MN
29,53,23,N,81,19,11,W,SaintAugustine,FL
43,25,48,,83,,24,W,,MI
38,,24,N,121,29,23,W,Sacramento,CA
43,36,36,N,72,58,12,W,Rutland,VT
,24,0,N,104,,47,W,Roswell,NM
35,56,23,N,77,48,0,W,RockyMount,NC
41,35,24,N,109,13,48,W,RockSprings,WY
42,16,12,N,,5,59,W,,IL
43,9,35,N,77,36,36,W,Rochester,NY
44,1,12,N,92,27,35,W,Rochester,MN
37,16,12,N,79,,24,W,,VA
37,32,24,N,,26,59,W,Richmond,VA
39,,48,N,84,53,23,W,Richmond,IN
38,46,12,N,112,5,23,W,,UT
45,38,,,89,25,11,W,Rhinelander,WI
39,31,12,N,119,48,35,W,Reno,NV
50,25,11,N,104,39,0,W,Regina,SA
40,10,,N,122,14,23,W,RedBluff,CA
40,19,48,N,75,55,48,W,Reading,PA
41,9,35,N,81,14,23,W,Ravenna,OH
